週,平均氣壓(hPa),平均氣溫(℃),平均相對溼度( %),平均風速(m/s),累計雨量(mm),累積日射量(MJ/m2)
2018-12-31/2019-01-06,1020.22,19.42,83.0,4.4,0.0,11.32
2019-01-07/2019-01-13,1018.17,19.1,83.43,4.64,0.0,12.88
2019-01-14/2019-01-20,1017.86,17.17,80.14,5.09,0.09,10.94
2019-01-21/2019-01-27,1019.29,15.47,71.57,6.01,0.0,14.57
2019-01-28/2019-02-03,1018.7,17.97,76.29,3.16,0.19,15.33
2019-02-04/2019-02-10,1016.19,19.89,77.29,3.7,0.0,15.71
2019-02-11/2019-02-17,1019.6,20.1,77.71,4.4,0.0,17.53
2019-02-18/2019-02-24,1016.16,19.67,80.86,3.61,1.14,12.83
2019-02-25/2019-03-03,1013.96,20.24,78.43,3.29,1.4,15.6
2019-03-04/2019-03-10,1013.07,18.3,82.14,3.84,2.23,11.5
2019-03-11/2019-03-17,1016.41,19.86,69.29,2.93,0.0,14.05
2019-03-18/2019-03-24,1013.87,21.26,80.43,3.31,0.84,14.68
2019-03-25/2019-03-31,1013.96,22.2,79.0,2.87,0.2,19.64
2019-04-01/2019-04-07,1014.46,21.56,78.14,3.11,0.01,18.52
2019-04-08/2019-04-14,1011.59,24.03,77.71,3.49,0.0,21.82
2019-04-15/2019-04-21,1009.93,23.26,78.71,2.6,7.36,15.43
2019-04-22/2019-04-28,1009.99,26.2,78.57,2.73,0.0,19.68
2019-04-29/2019-05-05,1009.74,23.87,76.57,2.81,0.41,16.03
2019-05-06/2019-05-12,1008.18,22.42,83.17,3.42,0.0,13.36
2019-05-13/2019-05-19,1007.1,27.56,78.8,2.62,0.24,20.14
2019-05-20/2019-05-26,1009.0,25.31,76.43,1.89,6.24,15.33
2019-05-27/2019-06-02,1008.13,26.2,78.86,2.6,1.36,20.09
2019-06-03/2019-06-09,1008.41,28.53,77.0,2.51,2.9,20.53
2019-06-10/2019-06-16,1003.65,26.57,79.33,2.8,7.17,15.92
2019-06-17/2019-06-23,1006.64,28.77,76.71,2.6,1.2,22.92
2019-06-24/2019-06-30,1003.74,27.71,80.86,2.39,6.26,15.14
2019-07-01/2019-07-07,1004.9,27.87,78.43,3.33,8.0,15.56
2019-07-08/2019-07-14,1006.07,28.31,78.29,3.31,5.56,20.89
2019-07-15/2019-07-21,1001.57,28.5,78.14,2.14,3.57,18.6
2019-07-22/2019-07-28,1006.41,28.49,76.71,2.31,0.01,22.82
2019-07-29/2019-08-04,1004.37,28.67,76.57,1.86,0.0,21.69
2019-08-05/2019-08-11,996.13,29.32,77.33,4.0,0.47,16.74
2019-08-12/2019-08-18,1002.57,27.51,82.86,3.3,15.43,13.05
2019-08-19/2019-08-25,1002.7,27.53,80.71,2.33,1.36,14.11
2019-08-26/2019-09-01,1006.79,28.34,78.14,1.84,0.0,23.44
2019-09-02/2019-09-08,1003.8,28.15,76.5,1.88,0.0,20.56
2019-09-09/2019-09-15,1006.64,28.51,74.43,2.33,0.0,17.97
2019-09-16/2019-09-22,1005.9,26.14,64.71,6.16,0.0,17.69
2019-09-23/2019-09-29,1013.19,25.97,71.57,3.41,0.0,20.88
2019-09-30/2019-10-06,1009.47,27.23,76.14,2.43,0.27,16.35
2019-10-07/2019-10-13,1011.87,26.5,74.14,1.99,0.0,19.68
2019-10-14/2019-10-20,1014.53,23.93,64.0,5.23,0.0,19.14
2019-10-21/2019-10-27,1012.7,23.66,69.57,2.96,0.0,18.31
2019-10-28/2019-11-03,1012.77,23.87,75.43,4.24,0.0,17.34
2019-11-04/2019-11-10,1011.39,22.19,65.71,5.36,0.0,17.27
2019-11-11/2019-11-17,1014.41,21.76,70.14,2.4,0.0,16.73
2019-11-18/2019-11-24,1014.0,21.53,74.29,4.87,0.0,11.89
2019-11-25/2019-12-01,1017.64,20.73,72.0,4.51,0.0,14.52
2019-12-02/2019-12-08,1018.86,16.49,65.86,8.11,3.93,10.81
2019-12-09/2019-12-15,1019.28,18.4,73.4,2.62,0.0,16.51
2019-12-16/2019-12-22,1016.43,19.99,78.29,3.34,0.0,12.56
2019-12-23/2019-12-29,1015.99,18.93,77.14,4.21,10.86,10.85
2019-12-30/2020-01-05,1021.17,17.97,80.86,3.07,3.43,11.64
2020-01-06/2020-01-12,1016.09,18.37,77.43,3.13,0.0,14.79
2020-01-13/2020-01-19,1017.0,17.55,75.5,3.58,0.0,16.07
2020-01-20/2020-01-26,1017.19,18.99,76.57,3.71,0.71,12.67
2020-01-27/2020-02-02,1018.03,14.23,62.71,4.84,0.0,15.6
2020-02-03/2020-02-09,1019.71,16.8,73.71,5.7,0.0,15.73
2020-02-10/2020-02-16,1016.79,19.79,76.29,2.49,0.57,12.99
2020-02-17/2020-02-23,1023.4,16.43,69.14,4.19,0.07,18.43
2020-02-24/2020-03-01,1016.27,21.47,74.71,2.46,0.0,19.87
2020-03-02/2020-03-08,1015.14,19.97,73.43,4.21,0.07,17.48
2020-03-09/2020-03-15,1014.09,20.39,70.29,3.94,2.79,16.22
2020-03-16/2020-03-22,1015.13,21.91,70.29,1.97,0.0,19.03
2020-03-23/2020-03-29,1013.06,23.01,73.71,3.36,0.14,20.89
2020-03-30/2020-04-05,1014.77,20.61,74.0,4.6,0.79,14.33
2020-04-06/2020-04-12,1014.61,19.99,72.0,4.06,2.21,20.21
2020-04-13/2020-04-19,1014.14,22.07,64.29,2.26,0.0,23.12
2020-04-20/2020-04-26,1014.11,22.21,74.71,3.37,1.29,16.93
2020-04-27/2020-05-03,1012.34,24.9,70.71,2.27,0.0,24.42
2020-05-04/2020-05-10,1008.73,27.76,74.29,2.8,0.0,25.29
2020-05-11/2020-05-17,1008.51,27.13,73.0,1.91,0.0,22.28
2020-05-18/2020-05-24,1005.46,25.16,83.43,2.36,32.71,10.54
2020-05-25/2020-05-31,1009.66,27.39,79.29,2.46,14.29,19.51
2020-06-01/2020-06-07,1008.39,28.43,74.71,2.67,0.79,21.41
2020-06-08/2020-06-14,1008.14,27.84,78.29,2.31,3.79,17.06
2020-06-15/2020-06-21,1008.43,28.9,72.71,2.66,0.14,26.98
2020-06-22/2020-06-28,1007.13,29.47,72.0,2.94,0.0,25.78
2020-06-29/2020-07-05,1006.83,29.14,73.57,2.96,1.5,22.68
2020-07-06/2020-07-12,1007.1,29.47,72.57,2.71,5.64,24.33
2020-07-13/2020-07-19,1006.87,29.31,73.0,2.57,7.5,23.41
2020-07-20/2020-07-26,1008.26,29.27,73.86,2.3,1.21,23.83
2020-07-27/2020-08-02,1006.7,29.0,74.71,1.93,0.5,20.77
2020-08-03/2020-08-09,1006.43,28.53,75.57,2.41,2.07,20.65
2020-08-10/2020-08-16,1009.2,28.42,74.25,1.88,0.25,22.85
2020-08-17/2020-08-23,1006.53,28.74,74.43,2.1,0.07,22.36
2020-08-24/2020-08-30,1003.09,27.69,79.0,3.03,25.07,16.74
2020-08-31/2020-09-06,1005.0,28.36,73.29,2.74,1.07,21.91
2020-09-07/2020-09-13,1008.99,28.33,72.43,1.86,0.29,21.17
2020-09-14/2020-09-20,1009.59,28.91,75.0,2.11,1.64,21.91
2020-09-21/2020-09-27,1008.76,26.7,68.14,3.7,0.0,20.53
2020-09-28/2020-10-04,1008.23,26.39,70.71,2.69,0.0,20.58
2020-10-05/2020-10-11,1010.33,25.11,67.0,5.43,0.0,20.47
2020-10-12/2020-10-18,1011.44,25.74,74.86,3.61,0.0,18.39
2020-10-19/2020-10-25,1010.06,23.56,71.14,5.31,0.0,14.29
2020-10-26/2020-11-01,1013.23,23.89,70.71,3.81,0.0,17.5
2020-11-02/2020-11-08,1013.14,22.47,73.0,4.66,0.43,9.97
2020-11-09/2020-11-15,1015.56,21.8,73.0,4.99,0.64,9.9
2020-11-16/2020-11-22,1013.27,24.51,77.71,2.14,0.0,15.63
2020-11-23/2020-11-29,1017.33,22.6,74.29,4.01,0.0,15.22
2020-11-30/2020-12-06,1016.37,19.79,70.0,6.67,0.0,13.03
2020-12-07/2020-12-13,1014.39,20.29,78.86,5.31,0.29,10.0
2020-12-14/2020-12-20,1018.54,17.97,74.29,6.51,0.0,12.26
2020-12-21/2020-12-27,1015.76,18.63,77.14,4.7,0.5,10.85
2020-12-28/2021-01-03,1018.29,15.76,67.71,6.17,0.0,14.14
2021-01-04/2021-01-10,1018.9,14.19,66.57,6.9,0.0,11.83
2021-01-11/2021-01-17,1017.66,14.03,68.29,4.79,0.0,15.02
2021-01-18/2021-01-24,1015.1,16.9,77.0,3.23,0.0,13.92
2021-01-25/2021-01-31,1018.23,15.99,74.43,3.61,0.0,15.75
2021-02-01/2021-02-07,1018.31,16.73,77.0,2.53,0.0,17.52
2021-02-08/2021-02-14,1013.81,17.8,80.43,3.4,2.57,13.24
2021-02-15/2021-02-21,1017.8,16.71,67.57,3.37,0.0,20.29
2021-02-22/2021-02-28,1012.43,19.06,75.29,3.13,0.0,18.34
2021-03-01/2021-03-07,1016.7,19.11,75.57,3.8,0.0,15.43
2021-03-08/2021-03-14,1017.63,18.94,75.43,3.99,0.0,19.85
2021-03-15/2021-03-21,1012.47,20.97,75.14,2.9,0.0,20.1
2021-03-22/2021-03-28,1014.66,19.39,71.86,3.39,0.43,15.96
2021-03-29/2021-04-04,1008.63,24.8,77.0,2.34,0.0,18.55
2021-04-05/2021-04-11,1015.37,20.76,67.0,4.76,0.07,20.41
2021-04-12/2021-04-18,1012.97,23.09,70.71,3.63,0.0,23.01
2021-04-19/2021-04-25,1009.2,24.04,72.57,2.53,0.07,20.16
2021-04-26/2021-05-02,1012.66,23.76,72.86,2.06,2.14,18.25
2021-05-03/2021-05-09,1011.4,26.01,75.0,2.51,0.0,21.82
2021-05-10/2021-05-16,1008.7,28.36,72.57,3.09,0.0,27.0
2021-05-17/2021-05-23,1008.36,29.34,72.57,2.93,0.0,24.78
2021-05-24/2021-05-30,1008.06,28.9,74.14,2.83,11.21,22.45
2021-05-31/2021-06-06,1005.07,27.61,80.43,2.84,17.36,16.77
2021-06-07/2021-06-13,1008.2,28.13,74.43,1.8,0.86,24.07
2021-06-14/2021-06-20,1005.46,28.93,77.14,3.03,6.5,19.87
2021-06-21/2021-06-27,1005.67,26.8,80.86,3.17,15.21,13.34
2021-06-28/2021-07-04,1006.89,28.36,77.86,2.9,13.64,24.55
2021-07-05/2021-07-11,1009.39,29.19,75.29,2.26,1.93,24.97
2021-07-12/2021-07-18,1007.29,28.49,74.43,1.87,2.64,24.75
2021-07-19/2021-07-25,998.37,28.74,76.57,3.57,1.64,20.22
2021-07-26/2021-08-01,998.76,28.03,80.57,3.34,36.93,16.48
2021-08-02/2021-08-08,998.86,26.94,84.14,3.74,51.07,9.54
2021-08-09/2021-08-15,1008.07,27.54,79.29,2.8,11.36,20.17
2021-08-16/2021-08-22,1008.96,28.44,76.43,2.01,0.0,23.98
2021-08-23/2021-08-29,1009.57,28.46,75.0,2.13,0.14,24.53
2021-08-30/2021-09-05,1008.89,28.31,76.14,2.09,0.57,20.04
2021-09-06/2021-09-12,1005.6,29.0,75.57,1.89,0.43,22.2
2021-09-13/2021-09-19,1009.34,28.83,75.86,2.1,5.43,22.1
2021-09-20/2021-09-26,1010.83,29.0,72.29,1.97,0.0,21.62
2021-09-27/2021-10-03,1008.46,28.61,72.43,1.9,0.0,21.59
2021-10-04/2021-10-10,1007.76,28.51,73.43,1.71,0.0,19.1
2021-10-11/2021-10-17,1006.4,26.94,76.57,3.8,0.57,14.36
2021-10-18/2021-10-24,1015.14,23.8,71.57,3.97,0.0,17.89
2021-10-25/2021-10-31,1015.51,23.89,69.43,4.06,0.0,18.31
2021-11-01/2021-11-07,1013.31,24.63,74.71,2.41,0.0,18.05
2021-11-08/2021-11-14,1015.74,20.11,64.86,4.56,0.36,15.34
2021-11-15/2021-11-21,1012.93,22.71,76.71,2.76,0.0,15.19
2021-11-22/2021-11-28,1016.29,20.1,73.0,4.67,0.0,11.26
2021-11-29/2021-12-05,1017.09,18.71,63.71,4.84,0.0,15.86
2021-12-06/2021-12-12,1018.5,19.6,74.71,3.57,0.0,15.52
2021-12-13/2021-12-19,1017.39,18.97,72.29,4.63,0.0,13.76
2021-12-20/2021-12-26,1016.41,18.14,78.14,4.89,1.71,7.11
2021-12-27/2022-01-02,1022.33,16.9,72.57,5.03,0.0,14.27
2022-01-03/2022-01-09,1017.64,17.71,75.57,4.87,0.36,12.37
2022-01-10/2022-01-16,1018.37,16.21,70.57,4.27,0.0,15.07
2022-01-17/2022-01-23,1015.33,18.13,79.43,4.54,1.64,11.06
2022-01-24/2022-01-30,1014.23,18.1,80.43,5.19,1.0,10.47
2022-01-31/2022-02-06,1018.21,16.2,76.0,5.44,0.07,13.14
2022-02-07/2022-02-13,1015.67,16.86,80.43,4.51,0.21,12.92
2022-02-14/2022-02-20,1014.99,15.1,80.71,6.23,4.86,10.72
2022-02-21/2022-02-27,1019.81,15.6,79.0,5.23,3.07,12.68
2022-02-28/2022-03-06,1014.84,20.61,75.14,2.46,0.0,20.6
2022-03-07/2022-03-13,1014.1,18.99,70.43,2.96,0.21,21.12
2022-03-14/2022-03-20,1009.87,22.8,75.43,2.26,0.29,19.29
2022-03-21/2022-03-27,1012.37,21.51,80.29,3.53,6.29,12.55
2022-03-28/2022-04-03,1016.77,18.63,79.0,6.03,5.79,12.49
2022-04-04/2022-04-10,1014.74,21.57,74.86,2.69,0.0,23.73
2022-04-11/2022-04-17,1009.56,23.49,69.29,3.37,0.0,22.67
2022-04-18/2022-04-24,1012.56,23.59,75.29,2.7,5.36,19.59
2022-04-25/2022-05-01,1010.06,25.91,77.29,3.66,0.0,23.75
2022-05-02/2022-05-08,1011.54,22.97,79.29,3.5,2.36,17.86
2022-05-09/2022-05-15,1008.8,24.34,82.86,2.64,15.36,11.96
2022-05-16/2022-05-22,1009.16,23.03,80.29,3.44,6.29,20.03
2022-05-23/2022-05-29,1006.96,26.24,83.86,2.54,9.5,16.21
2022-05-30/2022-06-05,1006.8,28.4,77.57,3.0,0.64,25.7
2022-06-06/2022-06-12,1006.8,26.89,82.14,2.57,20.86,12.93
2022-06-13/2022-06-19,1008.07,28.64,76.29,2.7,0.0,23.51
2022-06-20/2022-06-26,1008.31,28.73,76.0,2.51,1.57,26.21
2022-06-27/2022-07-03,1005.27,28.3,77.29,2.1,5.57,22.05
2022-07-04/2022-07-10,1006.7,29.06,75.29,2.69,0.36,24.22
2022-07-11/2022-07-17,1005.81,29.51,73.71,2.5,0.07,23.7
2022-07-18/2022-07-24,1008.5,29.71,76.0,2.69,0.86,25.62
2022-07-25/2022-07-31,1005.24,29.63,74.43,1.93,11.5,25.09
2022-08-01/2022-08-07,1007.57,28.34,77.71,2.04,4.86,20.74
2022-08-08/2022-08-14,1007.51,28.8,75.29,1.96,0.5,24.85
2022-08-15/2022-08-21,1006.81,28.8,76.43,2.14,4.14,21.72
2022-08-22/2022-08-28,1007.13,29.49,75.0,2.1,6.29,23.5
2022-08-29/2022-09-04,1002.7,28.5,76.71,3.96,0.86,18.26
2022-09-05/2022-09-11,1008.57,27.91,73.71,3.0,0.0,19.53
2022-09-12/2022-09-18,1004.2,27.94,73.29,2.33,0.64,21.06
2022-09-19/2022-09-25,1008.06,26.54,69.29,3.4,0.0,22.61
2022-09-26/2022-10-02,1009.9,28.06,77.71,1.5,0.0,21.47
2022-10-03/2022-10-09,1012.89,27.57,75.14,2.54,0.0,18.83
2022-10-10/2022-10-16,1009.3,24.14,72.57,5.59,0.5,15.16
2022-10-17/2022-10-23,1011.79,23.71,73.14,5.26,0.07,16.5
2022-10-24/2022-10-30,1012.1,23.63,70.71,4.23,0.0,17.31
2022-10-31/2022-11-06,1011.13,22.79,78.14,5.59,1.57,13.48
2022-11-07/2022-11-13,1014.43,23.86,83.14,2.4,0.0,15.17
2022-11-14/2022-11-20,1013.84,23.66,82.14,2.66,0.0,15.29
2022-11-21/2022-11-27,1013.24,23.23,82.57,2.43,0.0,10.65
2022-11-28/2022-12-04,1014.73,22.51,78.86,4.87,0.0,13.94
2022-12-05/2022-12-11,1013.49,19.74,75.71,6.2,0.0,12.35
2022-12-12/2022-12-18,1016.39,16.76,73.0,7.36,3.64,6.48
2022-12-19/2022-12-25,1016.77,15.0,59.0,4.67,0.0,16.43
2022-12-26/2023-01-01,1020.49,16.77,75.29,5.56,0.0,11.59
2023-01-02/2023-01-08,1020.0,17.89,78.0,5.2,0.43,11.02
