週,平均氣壓(hPa),平均氣溫(℃),平均相對溼度( %),平均風速(m/s),累計雨量(mm),累積日射量(MJ/m2)
2018-12-31/2019-01-06,1019.18,17.33,95.67,3.53,2.5,6.57
2019-01-07/2019-01-13,1016.19,18.63,93.14,2.61,0.0,7.28
2019-01-14/2019-01-20,1016.24,16.81,85.43,3.41,3.93,9.18
2019-01-21/2019-01-27,1018.21,14.94,72.86,3.49,0.14,12.07
2019-01-28/2019-02-03,1016.41,16.44,84.43,2.09,0.36,14.28
2019-02-04/2019-02-10,1014.44,17.01,91.86,2.74,0.0,8.4
2019-02-11/2019-02-17,1018.25,17.58,92.5,2.87,0.17,8.12
2019-02-18/2019-02-24,1014.13,17.3,94.17,2.55,10.0,5.94
2019-02-25/2019-03-03,1011.76,17.9,92.43,1.97,2.07,7.85
2019-03-04/2019-03-10,1011.37,16.09,93.43,2.66,22.36,6.85
2019-03-11/2019-03-17,1014.33,18.11,73.29,2.39,1.07,11.9
2019-03-18/2019-03-24,1011.43,19.49,86.86,2.79,0.93,10.88
2019-03-25/2019-03-31,1011.26,20.53,83.29,2.63,6.43,16.23
2019-04-01/2019-04-07,1011.86,20.56,83.0,2.46,0.6,14.66
2019-04-08/2019-04-14,1008.94,22.11,85.86,2.33,2.93,16.26
2019-04-15/2019-04-21,1007.27,21.8,86.29,1.66,11.79,13.34
2019-04-22/2019-04-28,1006.54,25.51,83.43,2.5,2.36,20.23
2019-04-29/2019-05-05,1007.93,22.0,79.5,2.58,15.33,14.34
2019-05-06/2019-05-12,1006.4,21.6,87.43,2.4,2.86,12.08
2019-05-13/2019-05-19,1003.39,26.37,88.43,2.29,57.64,15.08
2019-05-20/2019-05-26,1006.34,24.36,81.29,1.56,3.21,14.44
2019-05-27/2019-06-02,1005.13,25.37,85.0,1.8,7.14,14.34
2019-06-03/2019-06-09,1004.34,27.94,81.71,2.59,2.29,18.08
2019-06-10/2019-06-16,1000.9,24.8,86.57,1.89,34.43,12.17
2019-06-17/2019-06-23,1002.6,28.75,80.67,3.03,0.08,22.4
2019-06-24/2019-06-30,1000.51,27.56,87.14,1.43,7.57,20.16
2019-07-01/2019-07-07,1000.37,28.84,77.86,3.33,0.93,17.08
2019-07-08/2019-07-14,1001.21,29.8,74.29,4.03,0.0,22.64
2019-07-15/2019-07-21,997.85,30.0,75.83,2.8,0.08,23.38
2019-07-22/2019-07-28,1003.13,28.69,79.57,1.69,1.43,24.12
2019-07-29/2019-08-04,1001.27,29.48,77.5,1.65,0.0,25.18
2019-08-05/2019-08-11,992.84,29.39,79.86,4.1,12.93,17.44
2019-08-12/2019-08-18,998.23,28.89,79.0,3.36,2.93,21.43
2019-08-19/2019-08-25,1000.22,27.6,84.83,2.1,2.75,15.62
2019-08-26/2019-09-01,1003.68,28.37,84.0,1.23,26.67,21.19
2019-09-02/2019-09-08,1000.7,27.73,83.29,1.47,5.07,20.89
2019-09-09/2019-09-15,1004.11,28.16,79.43,2.16,2.5,21.57
2019-09-16/2019-09-22,1005.12,23.98,81.17,2.62,3.75,9.33
2019-09-23/2019-09-29,1011.17,24.97,80.71,2.99,5.93,17.82
2019-09-30/2019-10-06,1006.43,26.49,81.71,2.69,7.07,19.12
2019-10-07/2019-10-13,1009.71,25.67,75.43,2.54,0.0,21.75
2019-10-14/2019-10-20,1014.1,23.13,70.86,3.41,0.21,17.26
2019-10-21/2019-10-27,1010.93,23.2,71.71,2.53,0.0,16.66
2019-10-28/2019-11-03,1011.01,22.9,81.43,3.5,0.29,11.7
2019-11-04/2019-11-10,1010.64,21.7,68.71,3.7,0.07,15.22
2019-11-11/2019-11-17,1012.23,20.73,73.0,2.2,0.0,17.12
2019-11-18/2019-11-24,1013.17,20.36,85.14,3.66,2.93,10.32
2019-11-25/2019-12-01,1016.41,19.64,80.57,3.51,0.07,13.21
2019-12-02/2019-12-08,1019.64,15.17,76.0,4.21,16.71,8.05
2019-12-09/2019-12-15,1016.82,18.76,75.0,2.5,0.0,15.17
2019-12-16/2019-12-22,1014.31,18.56,90.0,2.11,0.57,6.98
2019-12-23/2019-12-29,1014.29,17.91,85.0,2.29,5.29,8.54
2019-12-30/2020-01-05,1018.99,17.26,86.14,2.39,3.64,11.47
2020-01-06/2020-01-12,1013.89,17.33,84.71,2.06,0.14,11.46
2020-01-13/2020-01-19,1015.77,15.69,83.57,2.77,0.29,8.65
2020-01-20/2020-01-26,1015.23,17.23,87.29,2.13,5.36,9.63
2020-01-27/2020-02-02,1016.67,12.69,71.71,2.3,0.29,12.03
2020-02-03/2020-02-09,1018.47,15.71,82.57,3.04,0.93,7.43
2020-02-10/2020-02-16,1014.9,17.43,84.0,1.82,7.75,11.69
2020-02-17/2020-02-23,1021.54,15.5,76.86,3.16,0.0,16.48
2020-02-24/2020-03-01,1013.83,19.31,86.0,1.93,0.0,16.37
2020-03-02/2020-03-08,1013.41,17.97,84.0,2.7,1.36,12.42
