週,平均價,交易量
2018-12-31/2019-01-06,15.85,7315.5
2019-01-07/2019-01-13,10.63,7901.33
2019-01-14/2019-01-20,11.8,6472.67
2019-01-21/2019-01-27,14.42,7419.83
2019-01-28/2019-02-03,15.17,7284.33
2019-02-04/2019-02-10,20.55,5787.0
2019-02-11/2019-02-17,18.22,7048.83
2019-02-18/2019-02-24,18.94,6779.2
2019-02-25/2019-03-03,15.98,6328.83
2019-03-04/2019-03-10,17.03,5908.67
2019-03-11/2019-03-17,40.83,3802.5
2019-03-18/2019-03-24,39.47,6335.67
2019-03-25/2019-03-31,41.88,7225.67
2019-04-01/2019-04-07,24.32,12689.25
2019-04-08/2019-04-14,11.1,14717.67
2019-04-15/2019-04-21,9.47,11226.5
2019-04-22/2019-04-28,11.47,9081.83
2019-04-29/2019-05-05,12.42,9590.5
2019-05-06/2019-05-12,24.2,6829.67
2019-05-13/2019-05-19,27.36,7117.8
2019-05-20/2019-05-26,27.57,7261.33
2019-05-27/2019-06-02,24.33,10197.33
2019-06-03/2019-06-09,17.02,8342.6
2019-06-10/2019-06-16,20.78,7594.67
2019-06-17/2019-06-23,29.08,7241.5
2019-06-24/2019-06-30,26.82,6776.5
2019-07-01/2019-07-07,38.37,7545.83
2019-07-08/2019-07-14,26.65,6259.33
2019-07-15/2019-07-21,35.47,7414.83
2019-07-22/2019-07-28,20.33,7953.33
2019-07-29/2019-08-04,19.05,8765.5
2019-08-05/2019-08-11,21.28,8696.33
2019-08-12/2019-08-18,19.23,9773.25
2019-08-19/2019-08-25,54.35,4370.83
2019-08-26/2019-09-01,53.35,5589.67
2019-09-02/2019-09-08,35.9,7652.33
2019-09-09/2019-09-15,32.28,5508.0
2019-09-16/2019-09-22,21.73,10817.83
2019-09-23/2019-09-29,20.67,9935.67
2019-09-30/2019-10-06,16.1,6552.83
2019-10-07/2019-10-13,16.15,8840.0
2019-10-14/2019-10-20,15.52,9645.4
2019-10-21/2019-10-27,16.37,8365.5
2019-10-28/2019-11-03,13.03,9270.5
2019-11-04/2019-11-10,18.75,6865.17
2019-11-11/2019-11-17,20.84,10177.2
2019-11-18/2019-11-24,15.35,7693.83
2019-11-25/2019-12-01,19.48,5856.0
2019-12-02/2019-12-08,32.67,4994.0
2019-12-09/2019-12-15,25.57,7961.67
2019-12-16/2019-12-22,18.92,8751.33
2019-12-23/2019-12-29,12.55,7305.0
2019-12-30/2020-01-05,18.08,6467.0
2020-01-06/2020-01-12,17.85,6830.67
2020-01-13/2020-01-19,14.97,7679.5
2020-01-20/2020-01-26,13.48,6170.25
2020-01-27/2020-02-02,22.53,6144.67
2020-02-03/2020-02-09,21.96,7392.8
2020-02-10/2020-02-16,18.35,7475.33
2020-02-17/2020-02-23,15.07,8714.17
2020-02-24/2020-03-01,11.63,8613.5
2020-03-02/2020-03-08,9.98,7278.67
2020-03-09/2020-03-15,10.83,6752.17
2020-03-16/2020-03-22,13.62,6710.17
2020-03-23/2020-03-29,11.0,8866.0
2020-03-30/2020-04-05,14.64,6052.8
2020-04-06/2020-04-12,21.82,6131.67
2020-04-13/2020-04-19,29.68,6370.33
2020-04-20/2020-04-26,14.93,9636.33
2020-04-27/2020-05-03,10.17,9048.0
2020-05-04/2020-05-10,9.72,9860.67
2020-05-11/2020-05-17,9.85,8322.5
2020-05-18/2020-05-24,17.9,6448.0
2020-05-25/2020-05-31,38.48,4018.83
2020-06-01/2020-06-07,56.12,3553.0
2020-06-08/2020-06-14,38.0,5649.67
2020-06-15/2020-06-21,32.17,5810.83
2020-06-22/2020-06-28,25.22,7202.75
2020-06-29/2020-07-05,11.57,10330.83
2020-07-06/2020-07-12,14.07,7212.83
2020-07-13/2020-07-19,15.36,8503.4
2020-07-20/2020-07-26,17.57,6434.17
2020-07-27/2020-08-02,32.2,4150.0
2020-08-03/2020-08-09,39.45,4521.17
2020-08-10/2020-08-16,38.04,5569.0
2020-08-17/2020-08-23,41.07,5213.17
2020-08-24/2020-08-30,21.97,9247.33
2020-08-31/2020-09-06,24.4,10080.5
2020-09-07/2020-09-13,24.37,8315.83
2020-09-14/2020-09-20,15.65,10390.5
2020-09-21/2020-09-27,15.06,9950.2
2020-09-28/2020-10-04,15.58,11560.5
2020-10-05/2020-10-11,20.77,8480.5
2020-10-12/2020-10-18,20.08,9627.33
2020-10-19/2020-10-25,22.1,8506.33
2020-10-26/2020-11-01,30.83,7401.17
2020-11-02/2020-11-08,33.55,8091.83
2020-11-09/2020-11-15,36.72,8523.0
2020-11-16/2020-11-22,35.3,8241.67
2020-11-23/2020-11-29,30.97,9373.5
2020-11-30/2020-12-06,18.83,11557.17
2020-12-07/2020-12-13,17.02,9548.0
2020-12-14/2020-12-20,16.72,8889.67
2020-12-21/2020-12-27,15.48,10284.5
2020-12-28/2021-01-03,14.63,9919.0
2021-01-04/2021-01-10,24.32,9581.0
2021-01-11/2021-01-17,27.92,14091.8
2021-01-18/2021-01-24,22.02,9983.17
2021-01-25/2021-01-31,10.43,10765.5
2021-02-01/2021-02-07,11.54,7794.4
2021-02-08/2021-02-14,11.1,5948.5
2021-02-15/2021-02-21,11.5,7813.5
2021-02-22/2021-02-28,15.64,6758.2
2021-03-01/2021-03-07,12.28,6378.67
2021-03-08/2021-03-14,15.47,5390.33
2021-03-15/2021-03-21,18.23,6574.33
2021-03-22/2021-03-28,16.56,7723.2
2021-03-29/2021-04-04,14.12,8194.8
2021-04-05/2021-04-11,15.82,7090.83
2021-04-12/2021-04-18,16.47,8740.83
2021-04-19/2021-04-25,11.53,8222.67
2021-04-26/2021-05-02,11.72,7220.5
2021-05-03/2021-05-09,14.13,7481.5
