週,平均價,交易量
2018-12-24/2018-12-30,26.6,3353.0
2018-12-31/2019-01-06,22.22,4487.67
2019-01-07/2019-01-13,20.4,4323.0
2019-01-14/2019-01-20,19.78,5407.17
2019-01-21/2019-01-27,20.47,6189.67
2019-01-28/2019-02-03,26.13,7547.17
2019-02-04/2019-02-10,19.65,4580.5
2019-02-11/2019-02-17,25.72,3644.83
2019-02-18/2019-02-24,37.86,3344.6
2019-02-25/2019-03-03,25.75,3144.33
2019-03-04/2019-03-10,22.47,3955.33
2019-03-11/2019-03-17,22.9,6606.17
2019-03-18/2019-03-24,31.85,1371.17
2019-03-25/2019-03-31,38.12,1199.83
2019-04-01/2019-04-07,41.38,1525.75
2019-04-08/2019-04-14,43.88,1014.33
2019-04-15/2019-04-21,27.4,2382.0
2019-04-22/2019-04-28,24.1,3870.17
2019-04-29/2019-05-05,25.85,2733.5
2019-05-06/2019-05-12,30.4,2252.17
2019-05-13/2019-05-19,25.0,3957.4
2019-05-20/2019-05-26,21.2,8011.58
2019-05-27/2019-06-02,18.92,5918.67
2019-06-03/2019-06-09,17.06,5878.6
2019-06-10/2019-06-16,15.62,7673.33
2019-06-17/2019-06-23,15.25,10264.25
2019-06-24/2019-06-30,15.68,8289.0
2019-07-01/2019-07-07,19.88,6165.5
2019-07-08/2019-07-14,11.47,7762.5
2019-07-15/2019-07-21,18.8,5497.5
2019-07-22/2019-07-28,16.9,5323.83
2019-07-29/2019-08-04,25.82,2874.5
2019-08-05/2019-08-11,26.45,3307.5
2019-08-12/2019-08-18,26.68,2724.25
2019-08-19/2019-08-25,37.35,1512.67
2019-08-26/2019-09-01,54.67,679.0
2019-09-02/2019-09-08,56.0,1197.67
2019-09-09/2019-09-15,31.48,2093.83
2019-09-16/2019-09-22,24.07,4676.17
2019-09-23/2019-09-29,20.1,3812.0
2019-09-30/2019-10-06,16.65,7382.0
2019-10-07/2019-10-13,21.95,2843.0
2019-10-14/2019-10-20,17.25,3654.5
2019-10-21/2019-10-27,34.65,2685.5
2019-10-28/2019-11-03,31.27,2630.83
2019-11-04/2019-11-10,20.47,7892.83
2019-11-11/2019-11-17,17.82,6942.0
2019-11-18/2019-11-24,17.25,9130.17
2019-11-25/2019-12-01,15.65,10022.67
2019-12-02/2019-12-08,15.57,11027.83
2019-12-09/2019-12-15,24.47,3471.67
2019-12-16/2019-12-22,16.62,9515.33
2019-12-23/2019-12-29,18.45,6510.0
2019-12-30/2020-01-05,18.52,5554.5
2020-01-06/2020-01-12,22.27,4750.67
2020-01-13/2020-01-19,36.97,3435.67
2020-01-20/2020-01-26,35.45,6855.5
2020-01-27/2020-02-02,34.0,2416.67
2020-02-03/2020-02-09,40.16,1997.2
2020-02-10/2020-02-16,48.37,929.83
2020-02-17/2020-02-23,34.82,4023.0
2020-02-24/2020-03-01,26.72,5427.33
2020-03-02/2020-03-08,23.58,5699.83
2020-03-09/2020-03-15,23.07,4615.83
2020-03-16/2020-03-22,23.28,5294.17
2020-03-23/2020-03-29,20.13,6838.67
2020-03-30/2020-04-05,19.58,5902.2
2020-04-06/2020-04-12,22.38,4886.5
2020-04-13/2020-04-19,24.73,6189.17
2020-04-20/2020-04-26,21.63,6923.5
2020-04-27/2020-05-03,21.08,5669.97
2020-05-04/2020-05-10,17.45,7155.55
2020-05-11/2020-05-17,16.47,8172.83
2020-05-18/2020-05-24,21.57,6456.0
2020-05-25/2020-05-31,27.57,2729.29
2020-06-01/2020-06-07,41.72,1695.67
2020-06-08/2020-06-14,36.95,2299.67
2020-06-15/2020-06-21,24.5,3556.83
2020-06-22/2020-06-28,25.58,4821.8
2020-06-29/2020-07-05,18.63,6737.17
2020-07-06/2020-07-12,16.87,9380.5
2020-07-13/2020-07-19,13.52,9840.33
2020-07-20/2020-07-26,14.2,9448.67
2020-07-27/2020-08-02,13.83,7350.33
2020-08-03/2020-08-09,27.95,2747.83
2020-08-10/2020-08-16,44.72,1373.67
2020-08-17/2020-08-23,37.07,3524.67
2020-08-24/2020-08-30,35.7,2522.17
2020-08-31/2020-09-06,32.72,5017.0
2020-09-07/2020-09-13,25.88,4623.33
2020-09-14/2020-09-20,25.65,4694.0
2020-09-21/2020-09-27,35.16,3961.4
2020-09-28/2020-10-04,26.12,8452.0
2020-10-05/2020-10-11,38.33,3367.0
2020-10-12/2020-10-18,53.95,1125.67
2020-10-19/2020-10-25,76.37,1132.83
2020-10-26/2020-11-01,59.8,1684.5
2020-11-02/2020-11-08,33.9,5090.5
2020-11-09/2020-11-15,25.03,6947.83
2020-11-16/2020-11-22,23.68,9025.33
2020-11-23/2020-11-29,20.73,11207.67
2020-11-30/2020-12-06,25.55,6496.17
2020-12-07/2020-12-13,34.38,3883.33
2020-12-14/2020-12-20,37.77,3731.5
2020-12-21/2020-12-27,40.55,3276.67
2020-12-28/2021-01-03,44.45,2408.0
2021-01-04/2021-01-10,38.3,5350.17
2021-01-11/2021-01-17,42.6,5688.2
2021-01-18/2021-01-24,38.17,5182.0
2021-01-25/2021-01-31,26.6,8853.15
2021-02-01/2021-02-07,24.77,11176.67
2021-02-08/2021-02-14,21.25,21963.0
2021-02-15/2021-02-21,26.42,9660.25
2021-02-22/2021-02-28,20.0,11597.42
2021-03-01/2021-03-07,17.92,10103.98
2021-03-08/2021-03-14,20.53,7760.03
2021-03-15/2021-03-21,27.15,4193.5
2021-03-22/2021-03-28,26.78,4181.0
2021-03-29/2021-04-04,27.54,5627.8
2021-04-05/2021-04-11,29.73,4403.67
2021-04-12/2021-04-18,38.42,3297.33
2021-04-19/2021-04-25,48.27,2224.33
2021-04-26/2021-05-02,38.37,5368.0
2021-05-03/2021-05-09,28.55,5904.33
2021-05-10/2021-05-16,26.25,6107.17
2021-05-17/2021-05-23,18.62,9338.33
2021-05-24/2021-05-30,37.25,4460.33
2021-05-31/2021-06-06,25.32,6996.0
2021-06-07/2021-06-13,27.43,4430.83
2021-06-14/2021-06-20,45.38,3075.4
2021-06-21/2021-06-27,53.62,2215.83
2021-06-28/2021-07-04,31.02,4660.75
2021-07-05/2021-07-11,26.57,6551.33
2021-07-12/2021-07-18,20.97,7525.17
2021-07-19/2021-07-25,21.47,10367.67
2021-07-26/2021-08-01,15.75,10681.17
2021-08-02/2021-08-08,15.4,8913.67
2021-08-09/2021-08-15,34.83,2587.33
2021-08-16/2021-08-22,53.48,2068.0
2021-08-23/2021-08-29,40.98,3877.4
2021-08-30/2021-09-05,30.63,6864.83
2021-09-06/2021-09-12,27.05,6947.17
2021-09-13/2021-09-19,20.35,9752.83
2021-09-20/2021-09-26,17.8,15648.0
2021-09-27/2021-10-03,18.35,13491.17
2021-10-04/2021-10-10,42.47,4070.17
2021-10-11/2021-10-17,41.0,3621.33
2021-10-18/2021-10-24,57.77,2816.67
2021-10-25/2021-10-31,51.23,1561.17
2021-11-01/2021-11-07,67.57,1217.83
2021-11-08/2021-11-14,90.0,865.0
2021-11-15/2021-11-21,86.63,1087.5
2021-11-22/2021-11-28,59.57,3168.0
2021-11-29/2021-12-05,54.62,4128.0
2021-12-06/2021-12-12,46.7,3378.5
2021-12-13/2021-12-19,57.6,3079.0
2021-12-20/2021-12-26,73.68,2635.67
2021-12-27/2022-01-02,72.13,2121.0
2022-01-03/2022-01-09,63.27,2108.67
2022-01-10/2022-01-16,56.55,1957.5
2022-01-17/2022-01-23,63.63,5060.5
2022-01-24/2022-01-30,51.97,11441.83
2022-01-31/2022-02-06,51.8,7102.0
2022-02-07/2022-02-13,55.04,6957.8
2022-02-14/2022-02-20,43.52,5547.83
2022-02-21/2022-02-27,55.88,4960.67
2022-02-28/2022-03-06,52.95,3548.5
2022-03-07/2022-03-13,51.75,2123.67
2022-03-14/2022-03-20,53.02,1490.83
2022-03-21/2022-03-27,83.42,2093.33
2022-03-28/2022-04-03,61.7,4322.67
2022-04-04/2022-04-10,62.8,4219.6
2022-04-11/2022-04-17,51.65,5908.5
2022-04-18/2022-04-24,56.62,3720.33
2022-04-25/2022-05-01,32.03,4197.17
2022-05-02/2022-05-08,22.83,7386.17
2022-05-09/2022-05-15,19.75,7944.33
2022-05-16/2022-05-22,23.85,5199.0
2022-05-23/2022-05-29,41.3,4144.83
2022-05-30/2022-06-05,49.36,3933.6
2022-06-06/2022-06-12,30.73,4424.33
2022-06-13/2022-06-19,26.67,3328.5
2022-06-20/2022-06-26,29.72,3084.83
2022-06-27/2022-07-03,36.07,3121.33
2022-07-04/2022-07-10,41.78,1853.92
2022-07-11/2022-07-17,52.2,1315.33
2022-07-18/2022-07-24,66.97,1224.83
2022-07-25/2022-07-31,45.68,4837.5
2022-08-01/2022-08-07,28.25,7271.17
