週,平均價,交易量
2018-12-31/2019-01-06,28.55,39549.0
2019-01-07/2019-01-13,22.72,53975.33
2019-01-14/2019-01-20,24.18,37783.67
2019-01-21/2019-01-27,25.97,46511.33
2019-01-28/2019-02-03,26.87,59157.5
2019-02-04/2019-02-10,21.55,48470.5
2019-02-11/2019-02-17,28.13,35366.33
2019-02-18/2019-02-24,27.56,41437.6
2019-02-25/2019-03-03,22.6,43971.33
2019-03-04/2019-03-10,20.6,40947.33
2019-03-11/2019-03-17,36.9,27323.83
2019-03-18/2019-03-24,38.22,29795.17
2019-03-25/2019-03-31,32.1,38743.83
2019-04-01/2019-04-07,27.72,54915.0
2019-04-08/2019-04-14,26.9,32959.17
2019-04-15/2019-04-21,28.25,30166.0
2019-04-22/2019-04-28,39.65,15487.33
2019-04-29/2019-05-05,44.58,11981.67
2019-05-06/2019-05-12,43.88,11180.67
2019-05-13/2019-05-19,53.62,8755.6
2019-05-20/2019-05-26,40.77,10330.0
2019-05-27/2019-06-02,51.2,7683.83
2019-06-03/2019-06-09,31.08,16003.2
2019-06-10/2019-06-16,29.23,10280.83
2019-06-17/2019-06-23,54.63,4074.17
2019-06-24/2019-06-30,47.95,5764.0
2019-07-01/2019-07-07,53.17,4606.5
2019-07-08/2019-07-14,54.12,4303.17
2019-07-15/2019-07-21,55.05,5753.67
2019-07-22/2019-07-28,50.68,5737.67
2019-07-29/2019-08-04,49.28,7043.33
2019-08-05/2019-08-11,54.15,6313.0
2019-08-12/2019-08-18,37.85,9404.0
2019-08-19/2019-08-25,65.67,2399.0
2019-08-26/2019-09-01,67.73,2738.83
2019-09-02/2019-09-08,78.13,2819.67
2019-09-09/2019-09-15,62.08,4202.6
2019-09-16/2019-09-22,50.25,7057.83
2019-09-23/2019-09-29,49.4,12756.5
2019-09-30/2019-10-06,54.53,11705.5
2019-10-07/2019-10-13,45.33,17029.5
2019-10-14/2019-10-20,46.46,17807.6
2019-10-21/2019-10-27,35.87,33305.83
2019-10-28/2019-11-03,27.55,40484.0
2019-11-04/2019-11-10,42.3,19852.0
2019-11-11/2019-11-17,42.86,26806.4
2019-11-18/2019-11-24,27.95,41444.0
2019-11-25/2019-12-01,22.15,47605.83
2019-12-02/2019-12-08,28.68,37107.83
2019-12-09/2019-12-15,33.92,37035.17
