週,平均氣壓(hPa),平均氣溫(℃),平均相對溼度( %),平均風速(m/s),累計雨量(mm),累積日射量(MJ/m2)
2018-12-31/2019-01-06,1017.62,20.0,82.33,1.7,0.08,11.2
2019-01-07/2019-01-13,1014.78,21.07,81.5,1.73,0.0,14.7
2019-01-14/2019-01-20,1014.64,18.94,80.8,1.8,0.2,10.66
2019-01-21/2019-01-27,1016.0,16.07,76.0,2.2,0.0,13.37
2019-01-28/2019-02-03,1015.54,19.17,73.57,1.61,0.0,16.24
2019-02-04/2019-02-10,1012.92,21.07,78.0,1.67,0.0,15.95
2019-02-11/2019-02-17,1016.7,21.0,76.6,2.1,0.0,18.2
2019-02-18/2019-02-24,1012.56,21.6,77.6,1.94,0.2,12.64
2019-02-25/2019-03-03,1010.81,21.61,79.14,1.87,0.14,18.28
2019-03-04/2019-03-10,1010.08,18.5,92.0,1.75,4.62,7.13
2019-03-11/2019-03-17,1013.37,20.71,79.57,1.54,0.0,14.45
2019-03-18/2019-03-24,1010.62,22.42,82.33,1.35,0.0,17.54
2019-03-25/2019-03-31,1010.4,23.7,79.83,1.52,0.0,19.87
2019-04-01/2019-04-07,1011.31,22.5,80.71,1.89,0.0,18.85
2019-04-08/2019-04-14,1007.77,25.7,77.0,1.47,0.0,23.0
2019-04-15/2019-04-21,1007.22,23.88,83.5,1.58,15.88,11.84
2019-04-22/2019-04-28,1007.17,26.93,78.86,1.4,0.14,20.61
2019-04-29/2019-05-05,1007.04,24.46,86.14,1.4,9.29,12.78
2019-05-06/2019-05-12,1005.31,24.09,90.0,1.3,2.71,14.49
2019-05-13/2019-05-19,1004.83,27.56,85.71,1.29,6.93,17.0
2019-05-20/2019-05-26,1006.17,25.94,86.71,1.03,6.36,13.33
2019-05-27/2019-06-02,1005.36,27.31,83.29,1.39,1.36,17.61
2019-06-03/2019-06-09,1005.84,28.71,79.29,1.54,1.5,20.47
2019-06-10/2019-06-16,1001.34,26.81,89.71,1.63,38.79,12.73
2019-06-17/2019-06-23,1004.1,29.13,80.0,1.47,1.64,21.36
2019-06-24/2019-06-30,1001.26,27.84,86.29,1.84,4.14,14.2
2019-07-01/2019-07-07,1002.63,27.56,88.0,2.33,22.64,14.72
2019-07-08/2019-07-14,1003.86,27.83,88.0,1.89,23.57,16.59
2019-07-15/2019-07-21,999.01,27.99,88.14,1.49,23.07,14.38
2019-07-22/2019-07-28,1003.79,28.13,84.14,0.0,1.86,18.44
2019-07-29/2019-08-04,1001.66,27.84,86.14,0.0,17.79,18.93
2019-08-05/2019-08-11,994.4,28.47,87.67,0.0,8.83,14.91
2019-08-12/2019-08-18,1000.43,26.7,94.43,0.0,61.5,9.41
2019-08-19/2019-08-25,1000.03,26.99,91.71,0.94,15.14,11.21
2019-08-26/2019-09-01,1004.0,28.03,87.29,1.2,5.93,17.94
2019-09-02/2019-09-08,1000.78,27.35,86.83,1.28,13.08,15.84
2019-09-09/2019-09-15,1004.13,27.61,87.0,1.17,20.29,16.11
2019-09-16/2019-09-22,1002.72,25.93,77.67,2.3,3.83,19.07
2019-09-23/2019-09-29,1010.19,26.44,81.14,0.84,0.0,19.02
2019-09-30/2019-10-06,1006.59,27.01,83.43,1.23,0.21,15.05
2019-10-07/2019-10-13,1009.04,26.87,82.71,0.96,0.14,16.02
2019-10-14/2019-10-20,1011.39,24.8,76.43,1.34,0.0,16.56
2019-10-21/2019-10-27,1009.84,24.23,81.0,1.09,0.0,15.38
2019-10-28/2019-11-03,1009.66,24.84,82.57,1.64,0.0,16.3
2019-11-04/2019-11-10,1008.29,22.43,79.14,1.56,0.0,15.52
2019-11-11/2019-11-17,1011.41,21.87,79.71,1.11,0.0,15.71
2019-11-18/2019-11-24,1010.77,22.36,80.14,1.79,0.0,13.29
2019-11-25/2019-12-01,1014.5,21.47,80.57,1.49,0.0,14.77
2019-12-02/2019-12-08,1015.33,16.38,83.5,2.58,2.92,8.81
2019-12-09/2019-12-15,1015.63,18.53,80.5,1.33,0.0,16.77
2019-12-16/2019-12-22,1013.72,20.45,87.83,1.68,0.33,12.72
2019-12-30/2020-01-05,1018.08,18.54,89.0,1.14,0.2,12.92
2020-01-06/2020-01-12,1012.87,19.0,85.86,1.59,0.0,15.52
2020-01-13/2020-01-19,1014.19,17.13,83.43,1.9,0.0,16.98
2020-01-20/2020-01-26,1014.0,20.07,83.86,1.66,3.07,15.17
2020-01-27/2020-02-02,1014.6,14.34,76.14,2.26,0.21,15.72
2020-02-03/2020-02-09,1016.36,17.34,82.57,2.2,0.0,16.84
2020-02-10/2020-02-16,1013.67,20.99,84.0,1.64,0.21,14.53
2020-02-17/2020-02-23,1020.2,16.77,79.14,1.47,0.29,16.93
2020-02-24/2020-03-01,1013.14,22.37,81.71,1.5,0.0,20.43
