週,平均氣壓(hPa),平均氣溫(℃),平均相對溼度( %),平均風速(m/s),累計雨量(mm),累積日射量(MJ/m2)
2018-12-31/2019-01-06,1019.9,19.53,89.83,1.4,4.0,6.81
2019-01-07/2019-01-13,1016.39,20.49,86.57,1.36,1.93,8.4
2019-01-14/2019-01-20,1016.59,18.9,79.86,1.37,3.71,5.9
2019-01-21/2019-01-27,1017.86,16.84,78.29,1.16,0.64,5.67
2019-01-28/2019-02-03,1017.1,19.08,78.75,1.18,1.38,11.92
2019-02-11/2019-02-17,1017.54,19.96,87.29,1.14,1.07,8.19
2019-02-18/2019-02-24,1013.57,20.41,87.43,1.17,2.57,9.47
2019-02-25/2019-03-03,1011.19,20.61,86.29,1.03,1.29,9.39
2019-03-04/2019-03-10,1011.2,18.3,89.29,0.89,12.43,4.7
2019-03-11/2019-03-17,1015.39,18.71,77.14,0.74,0.79,8.41
2019-03-18/2019-03-24,1011.69,21.13,82.0,1.33,0.57,10.84
2019-03-25/2019-03-31,1011.44,21.47,82.57,1.31,3.36,10.5
2019-04-01/2019-04-07,1011.97,21.39,84.86,1.01,2.79,11.61
2019-04-08/2019-04-14,1007.15,24.08,82.25,1.48,1.88,15.86
2019-04-15/2019-04-21,1008.04,22.22,84.4,0.84,3.4,8.89
2019-04-22/2019-04-28,1007.38,25.66,81.2,1.38,5.4,16.01
2019-04-29/2019-05-05,1008.07,22.69,81.29,1.1,7.07,9.07
2019-05-06/2019-05-12,1006.96,22.46,84.86,1.19,4.57,10.18
2019-05-13/2019-05-19,1003.63,25.76,84.0,0.89,8.0,13.27
2019-05-20/2019-05-26,1007.64,23.21,82.0,0.99,9.0,7.75
2019-05-27/2019-06-02,1005.24,25.01,86.29,1.0,2.57,11.88
2019-06-03/2019-06-09,1004.67,27.11,81.29,0.87,0.79,14.5
2019-06-10/2019-06-16,1001.24,24.91,88.71,0.8,15.43,8.4
2019-06-17/2019-06-23,1002.6,27.73,82.71,0.97,1.07,16.74
2019-06-24/2019-06-30,1001.01,27.59,85.43,1.0,20.36,16.91
2019-07-01/2019-07-07,1000.76,28.2,82.71,1.09,3.36,15.53
2019-07-08/2019-07-14,1001.47,28.49,79.57,1.24,0.5,21.51
2019-07-15/2019-07-21,998.71,28.44,82.71,1.46,6.29,16.86
2019-07-22/2019-07-28,1003.69,28.31,81.43,1.04,0.71,20.24
2019-07-29/2019-08-04,1002.59,28.53,77.43,1.19,0.0,22.16
2019-08-05/2019-08-11,991.95,28.7,84.17,1.25,2.58,18.72
2019-08-12/2019-08-18,997.26,28.84,81.2,0.78,0.0,14.78
2019-08-19/2019-08-25,1002.06,26.62,90.6,1.38,43.3,11.96
2019-08-26/2019-09-01,1005.18,28.12,85.17,1.05,0.33,22.08
2019-09-02/2019-09-08,1000.7,27.1,90.6,1.18,2.1,17.05
2019-09-09/2019-09-15,1004.97,27.34,80.86,1.21,3.79,17.79
2019-09-16/2019-09-22,1002.61,26.21,77.43,1.61,13.29,15.29
2019-09-23/2019-09-29,1011.83,24.89,83.71,1.17,9.86,12.1
2019-09-30/2019-10-06,1006.87,25.93,81.86,1.36,9.36,13.53
2019-10-07/2019-10-13,1010.54,24.56,82.86,1.0,0.86,10.75
2019-10-14/2019-10-20,1013.5,23.69,75.86,1.54,0.14,11.17
2019-10-21/2019-10-27,1011.3,22.61,80.57,0.86,0.86,8.51
2019-10-28/2019-11-03,1011.93,23.56,85.71,1.39,25.36,8.46
2019-11-04/2019-11-10,1011.04,21.77,76.43,1.61,0.14,7.67
2019-11-11/2019-11-17,1013.24,20.74,75.43,1.1,0.0,12.87
2019-11-18/2019-11-24,1012.94,22.41,82.43,1.54,2.79,8.12
2019-11-25/2019-12-01,1016.77,20.3,81.83,1.37,0.5,6.88
2019-12-02/2019-12-08,1018.72,17.1,77.0,1.55,2.17,5.04
2019-12-09/2019-12-15,1016.67,19.04,77.0,1.19,0.21,11.42
2019-12-16/2019-12-22,1014.1,20.64,86.0,1.04,1.21,9.29
2019-12-23/2019-12-29,1014.83,19.26,85.0,1.19,4.14,7.22
2019-12-30/2020-01-05,1020.04,18.8,86.0,0.9,3.5,7.33
2020-01-06/2020-01-12,1014.07,19.21,84.14,1.09,2.86,9.24
2020-01-13/2020-01-19,1014.91,17.74,84.57,0.99,0.86,7.55
2020-01-20/2020-01-26,1015.03,20.27,82.29,0.77,0.64,8.63
2020-01-27/2020-02-02,1015.33,15.07,79.57,0.8,0.14,5.76
2020-02-03/2020-02-09,1017.69,17.57,83.86,1.06,0.93,7.52
2020-02-10/2020-02-16,1014.7,20.19,80.43,1.19,0.0,10.33
2020-02-17/2020-02-23,1022.26,16.61,80.0,0.9,0.79,7.56
2020-02-24/2020-03-01,1014.09,21.39,83.29,1.16,0.29,12.06
2020-03-02/2020-03-08,1013.59,19.5,84.43,1.19,0.86,9.0
2020-03-09/2020-03-15,1011.81,19.33,83.86,1.23,3.71,6.88
2020-03-16/2020-03-22,1012.64,20.57,81.43,0.8,0.79,11.58
2020-03-23/2020-03-29,1011.01,21.96,86.14,1.09,3.0,11.38
2020-03-30/2020-04-05,1012.89,20.07,87.71,0.87,0.79,4.92
2020-04-06/2020-04-12,1012.13,19.4,86.14,0.87,1.86,6.29
2020-04-13/2020-04-19,1011.6,21.2,76.57,1.01,0.5,14.97
2020-04-20/2020-04-26,1012.36,20.99,88.29,1.53,1.21,7.68
2020-04-27/2020-05-03,1010.7,22.79,86.14,0.9,4.79,12.06
2020-05-04/2020-05-10,1005.47,25.8,88.29,0.99,4.0,13.91
2020-05-11/2020-05-17,1006.57,25.27,85.43,1.23,3.21,14.19
2020-05-18/2020-05-24,1002.47,24.1,92.71,0.76,8.29,6.56
2020-05-25/2020-05-31,1006.4,25.81,90.14,0.89,6.21,12.32
2020-06-01/2020-06-07,1004.31,27.89,81.57,1.11,5.0,19.55
2020-06-08/2020-06-14,1005.49,27.99,80.29,1.04,1.93,17.49
2020-06-15/2020-06-21,1004.21,28.74,80.0,1.21,1.86,22.54
2020-06-22/2020-06-28,1003.23,28.91,77.0,1.17,0.0,22.52
2020-06-29/2020-07-05,1003.36,28.56,81.43,1.24,0.93,18.86
2020-07-06/2020-07-12,1002.99,29.16,79.29,1.2,0.29,20.27
2020-07-13/2020-07-19,1003.24,29.01,79.0,1.39,5.71,22.42
2020-07-20/2020-07-26,1005.51,28.77,79.29,1.2,5.29,23.42
2020-07-27/2020-08-02,1005.11,27.81,82.43,1.13,3.36,19.08
2020-08-03/2020-08-09,1003.67,28.49,79.29,1.1,0.5,21.3
2020-08-10/2020-08-16,1006.7,28.17,79.43,1.13,0.21,20.35
2020-08-17/2020-08-23,1004.34,27.67,81.43,1.17,0.0,19.28
2020-08-24/2020-08-30,999.23,28.31,81.14,1.16,1.36,21.27
2020-08-31/2020-09-06,1001.39,27.34,80.5,1.16,19.93,18.21
2020-09-07/2020-09-13,1006.49,26.36,82.0,0.9,5.64,15.42
2020-09-14/2020-09-20,1007.31,27.9,77.14,1.14,3.21,20.42
2020-09-21/2020-09-27,1007.1,24.84,81.0,0.96,1.07,8.06
2020-09-28/2020-10-04,1006.5,24.7,77.43,0.93,1.07,12.17
2020-10-05/2020-10-11,1009.5,24.71,76.71,1.36,0.57,9.5
2020-10-12/2020-10-18,1011.13,24.81,84.86,1.19,26.79,9.96
2020-10-19/2020-10-25,1010.37,22.89,83.14,1.17,12.21,7.38
2020-10-26/2020-11-01,1013.16,23.0,77.0,1.11,0.21,8.21
2020-11-02/2020-11-08,1012.59,23.21,78.86,1.49,4.36,10.0
2020-11-09/2020-11-15,1016.7,21.46,82.71,1.47,5.93,6.06
2020-11-16/2020-11-22,1011.76,23.93,84.57,1.06,4.79,12.15
2020-11-23/2020-11-29,1017.17,21.76,84.14,1.86,6.21,9.04
2020-11-30/2020-12-06,1016.93,19.69,81.86,2.2,3.14,6.51
2020-12-07/2020-12-13,1012.74,20.84,87.86,0.84,5.79,5.88
2020-12-14/2020-12-20,1017.9,18.31,83.43,1.94,1.43,7.04
2020-12-21/2020-12-27,1014.36,18.47,87.29,0.99,4.43,7.01
2020-12-28/2021-01-03,1017.14,15.86,78.71,1.3,0.36,5.49
2021-01-04/2021-01-10,1017.59,14.27,83.0,1.51,2.07,6.01
2021-01-11/2021-01-17,1016.06,13.91,80.57,1.34,1.86,9.34
2021-01-18/2021-01-24,1014.03,18.1,85.57,1.19,5.93,5.64
2021-01-25/2021-01-31,1016.74,17.16,79.43,1.06,2.07,9.42
2021-02-01/2021-02-07,1016.61,18.34,77.71,1.24,0.07,14.09
2021-02-08/2021-02-14,1012.21,19.19,86.57,1.64,4.0,10.03
2021-02-15/2021-02-21,1016.31,16.61,75.57,1.07,0.29,9.13
2021-02-22/2021-02-28,1010.29,19.94,85.14,0.97,0.43,11.3
2021-03-01/2021-03-07,1014.43,19.87,86.43,1.2,0.93,9.37
2021-03-08/2021-03-14,1016.19,19.86,84.86,1.31,2.0,8.47
2021-03-15/2021-03-21,1010.1,22.16,83.29,1.21,4.57,14.06
2021-03-22/2021-03-28,1012.59,19.46,82.0,0.91,0.29,10.68
2021-03-29/2021-04-04,1005.67,24.36,86.14,1.3,0.0,12.15
2021-04-05/2021-04-11,1013.91,20.61,78.43,0.99,3.71,9.82
2021-04-12/2021-04-18,1011.37,22.2,84.57,1.31,2.43,10.74
2021-04-19/2021-04-25,1008.09,22.0,83.29,1.27,7.57,12.27
2021-04-26/2021-05-02,1010.29,22.34,81.43,0.93,1.07,13.96
2021-05-03/2021-05-09,1008.99,24.8,85.14,1.1,0.71,14.48
2021-05-10/2021-05-16,1005.7,27.8,78.71,1.11,0.0,21.46
2021-05-17/2021-05-23,1005.27,28.19,80.57,1.1,0.07,19.61
2021-05-24/2021-05-30,1004.43,26.97,86.43,1.3,16.64,16.82
2021-05-31/2021-06-06,1002.14,26.61,89.0,1.23,8.93,13.84
2021-06-07/2021-06-13,1005.83,27.03,84.43,0.96,4.0,18.66
2021-06-14/2021-06-20,999.86,28.8,77.29,1.17,0.0,24.23
2021-06-21/2021-06-27,1001.67,26.94,88.71,0.93,6.07,12.52
2021-06-28/2021-07-04,1002.47,28.36,78.14,1.01,0.0,20.44
2021-07-05/2021-07-11,1007.19,28.96,76.71,1.2,0.43,24.67
2021-07-12/2021-07-18,1005.2,28.33,76.29,1.13,0.07,21.49
2021-07-19/2021-07-25,993.3,28.99,78.0,1.14,0.64,19.23
2021-07-26/2021-08-01,994.93,28.74,79.14,0.96,5.14,17.25
2021-08-02/2021-08-08,995.73,26.76,89.29,0.63,8.43,9.45
2021-08-09/2021-08-15,1004.54,28.26,81.86,1.16,3.21,19.61
2021-08-16/2021-08-22,1006.01,27.44,82.0,1.03,0.21,17.16
2021-08-23/2021-08-29,1007.19,28.26,79.57,1.16,0.0,21.6
2021-08-30/2021-09-05,1006.83,27.46,82.14,1.0,7.14,19.32
2021-09-06/2021-09-12,1003.49,27.21,83.0,1.11,21.43,17.43
2021-09-13/2021-09-19,1006.36,27.24,86.29,0.94,2.57,17.2
2021-09-20/2021-09-26,1008.99,26.96,84.14,0.99,4.64,19.41
2021-09-27/2021-10-03,1006.46,26.67,82.14,1.09,2.93,18.27
2021-10-04/2021-10-10,1007.94,26.84,79.43,1.16,2.57,17.68
2021-10-11/2021-10-17,1007.44,24.83,90.0,1.93,92.93,9.07
2021-10-18/2021-10-24,1013.87,22.73,89.14,1.11,0.57,7.86
2021-10-25/2021-10-31,1014.46,22.56,88.0,1.23,2.71,8.59
2021-11-01/2021-11-07,1011.61,23.34,91.29,1.0,1.21,9.11
2021-11-08/2021-11-14,1014.59,18.69,86.57,0.8,2.5,3.83
2021-11-15/2021-11-21,1010.94,22.34,85.86,1.01,1.07,10.16
2021-11-22/2021-11-28,1015.64,19.54,88.57,1.11,3.79,4.74
2021-11-29/2021-12-05,1016.09,18.27,77.43,1.39,5.0,8.08
2021-12-06/2021-12-12,1017.6,19.33,83.29,1.24,0.36,7.52
2021-12-13/2021-12-19,1016.83,19.09,82.14,1.43,0.86,8.49
